date;id_station;id_network;type;latitude;longitude;altitude;area_adm_1;area_adm_2;name;value;value_max
29/12/16 12:00;DEZ1627;Eurdep;air;50.0;12.3;;Germany;WALDSASSEN;WALDSASSEN;11.0;11.0
29/12/16 12:00;DEZ1632;Eurdep;air;49.99;10.85;;Germany;BAUNACH;BAUNACH;9.371;9.73
29/12/16 12:00;DEZ1635;Eurdep;air;49.89;11.11;;Germany;HEILIGENSTADT I. OFR.;HEILIGENSTADT I. OFR.;8.036;8.26
29/12/16 12:00;DEZ1637;Eurdep;air;49.97;11.03;;Germany;SCHEßLITZ;SCHEßLITZ;10.137;10.0
29/12/16 12:00;DEZ1638;Eurdep;air;50.0;11.2;;Germany;STADELHOFEN;STADELHOFEN;8.597;8.0
29/12/16 12:00;DEZ1640;Eurdep;air;49.85;11.62;;Germany;CREUßEN;CREUßEN;8.305;8.55
29/12/16 12:00;DEZ1646;Eurdep;air;49.77;11.41;;Germany;POTTENSTEIN;POTTENSTEIN;8.796;9.11
29/12/16 12:00;DEZ1648;Eurdep;air;49.87;11.33;;Germany;WAISCHENFELD OT NANKENDORF;WAISCHENFELD OT NANKENDORF;8.748;9.06
29/12/16 12:00;DEZ1650;Eurdep;air;50.32;10.9;;Germany;MEEDER;MEEDER;11.73;12.0
28/12/16 22:00;DEZ1651;Eurdep;air;50.33;11.1;;Germany;NEUSTADT BEI COBURG;NEUSTADT BEI COBURG;10.0;10.0
29/12/16 12:00;DEZ1656;Eurdep;air;49.78;11.19;;Germany;EBERMANNSTADT;EBERMANNSTADT;8.42;8.87
29/12/16 12:00;DEZ1657;Eurdep;air;49.65;11.24;;Germany;GRÄFENBERG;GRÄFENBERG;10.143;10.0
29/12/16 12:00;DEZ1661;Eurdep;air;50.34;11.6;;Germany;GEROLDSGRÜN;GEROLDSGRÜN;7.484;7.75
29/12/16 12:00;DEZ1675;Eurdep;air;50.4;11.38;;Germany;TEUSCHNITZ;TEUSCHNITZ;10.948;11.0
28/12/16 22:00;DEZ1683;Eurdep;air;50.07;11.09;;Germany;BAD STAFFELSTEIN;BAD STAFFELSTEIN;8.21;8.21
29/12/16 12:00;DEZ1685;Eurdep;air;50.0;12.07;;Germany;MARKTREDWITZ;MARKTREDWITZ;11.236;11.0
29/12/16 12:00;DEZ1689;Eurdep;air;49.32;10.57;;Germany;ANSBACH;ANSBACH;10.652;10.0
29/12/16 12:00;DEZ1694;Eurdep;air;49.44;10.17;;Germany;ADELSHOFEN;ADELSHOFEN;10.055;10.0
29/12/16 12:00;DEZ1698;Eurdep;air;49.07;10.32;;Germany;DINKELSBÜHL;DINKELSBÜHL;10.474;10.0
29/12/16 12:00;DEZ1699;Eurdep;air;49.2;10.31;;Germany;FEUCHTWANGEN OT BANZENWEILER;FEUCHTWANGEN OT BANZENWEILER;12.079;12.0
29/12/16 12:00;DEZ1700;Eurdep;air;49.06;10.5;;Germany;GEROLFINGEN;GEROLFINGEN;9.544;9.86
29/12/16 12:00;DEZ1701;Eurdep;air;49.34;10.79;;Germany;HEILSBRONN;HEILSBRONN;10.266;10.0
29/12/16 12:00;DEZ1709;Eurdep;air;49.62;10.83;;Germany;WEISENDORF;WEISENDORF;10.604;11.0
28/12/16 22:00;DEZ1719;Eurdep;air;49.44;10.33;;Germany;BURGBERNHEIM;BURGBERNHEIM;11.0;11.0
29/12/16 12:00;DEZ1720;Eurdep;air;49.73;10.6;;Germany;BURGHASLACH;BURGHASLACH;11.111;11.0
29/12/16 12:00;DEZ1721;Eurdep;air;49.58;10.62;;Germany;NEUSTADT AN DER AISCH;NEUSTADT AN DER AISCH;10.574;11.0
29/12/16 12:00;DEZ1723;Eurdep;air;49.67;10.46;;Germany;SCHEINFELD;SCHEINFELD;10.744;11.0
28/12/16 22:00;DEZ1724;Eurdep;air;49.6;10.44;;Germany;SUGENHEIM;SUGENHEIM;9.21;9.21
29/12/16 12:00;DEZ1728;Eurdep;air;49.13;11.11;;Germany;HEIDECK;HEIDECK;9.65;10.0
29/12/16 12:00;DEZ1734;Eurdep;air;49.02;10.74;;Germany;HEIDENHEIM AM HAHNE;HEIDENHEIM AM HAHNE;9.199;9.55
29/12/16 12:00;DEZ1736;Eurdep;air;49.01;11.13;;Germany;RAITENBUCH;RAITENBUCH;10.778;11.0
29/12/16 12:00;DEZ1740;Eurdep;air;50.04;10.21;;Germany;SCHWEINFURT;SCHWEINFURT;11.074;11.0
29/12/16 12:00;DEZ1741;Eurdep;air;49.77;9.96;;Germany;WÜRZBURG;WÜRZBURG;8.739;9.02
28/12/16 22:00;DEZ1743;Eurdep;air;50.0;9.17;;Germany;GOLDBACH;GOLDBACH;10.0;10.0
29/12/16 12:00;DEZ1755;Eurdep;air;50.2;9.96;;Germany;OBERTHULBA;OBERTHULBA;11.474;11.0
28/12/16 22:00;DEZ1760;Eurdep;air;50.36;10.46;;Germany;HÖCHHEIM OT IRMELSHAUSEN;HÖCHHEIM OT IRMELSHAUSEN;10.0;10.0
29/12/16 12:00;DEZ1766;Eurdep;air;50.36;10.23;;Germany;WOLLBACH;WOLLBACH;9.224;9.46
29/12/16 12:00;DEZ1772;Eurdep;air;50.2;10.66;;Germany;MAROLDSWEISACH;MAROLDSWEISACH;10.841;11.0
29/12/16 12:00;DEZ1773;Eurdep;air;49.89;10.55;;Germany;RAUHENEBRACH OT UNTERSTEINBACH;RAUHENEBRACH OT UNTERSTEINBACH;11.122;11.0
29/12/16 12:00;DEZ1775;Eurdep;air;49.64;10.22;;Germany;SEINSHEIM;SEINSHEIM;10.156;10.0
29/12/16 12:00;DEZ1778;Eurdep;air;49.78;9.38;;Germany;DORFPROZELTEN;DORFPROZELTEN;9.254;9.71
29/12/16 12:00;DEZ1780;Eurdep;air;49.72;9.21;;Germany;KLEINHEUBACH;KLEINHEUBACH;8.297;8.68
29/12/16 12:00;DEZ1783;Eurdep;air;49.98;9.96;;Germany;ARNSTEIN;ARNSTEIN;9.537;9.98
29/12/16 12:00;DEZ1785;Eurdep;air;50.06;9.69;;Germany;GEMÜNDEN AM MAIN;GEMÜNDEN AM MAIN;10.752;11.0
29/12/16 12:00;DEZ1788;Eurdep;air;49.85;9.63;;Germany;MARKTHEIDENFELD;MARKTHEIDENFELD;9.07;9.48
29/12/16 12:00;DEZ1789;Eurdep;air;49.95;9.67;;Germany;STEINFELD;STEINFELD;9.981;10.0
29/12/16 12:00;DEZ1793;Eurdep;air;49.99;10.31;;Germany;GRETTSTADT;GRETTSTADT;8.0;8.76
29/12/16 12:00;DEZ1794;Eurdep;air;49.92;10.23;;Germany;KOLITZHEIM;KOLITZHEIM;10.248;10.0
